record_id,topic,reference_type,plain_language_meaning,safety_note,source_type,evidence_level,claim_type,medical_disclaimer_required,commercial_relevance,last_reviewed,related_holistix_page,related_product_category,notes
PEMF-FREQ-012,20 Hz PEMF,Frequency reference,"20 Hz means twenty cycles per second and may appear in adjustable PEMF devices or preset programs.","Device design, waveform, intensity, session length, placement, and instructions matter along with frequency.","Consumer comparison context / buyer education","Measurement caution","Measurement concept","No","Useful for explaining that Hz is only one device variable.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Good variable-context row."
PEMF-FREQ-013,30 Hz PEMF,Frequency reference,"30 Hz means thirty cycles per second and may appear at the upper end of some consumer low-frequency PEMF devices.","Users should follow manufacturer instructions and avoid assuming higher frequency means better results.","Manufacturer instruction / consumer safety context","Consumer safety caution","Usage context","Yes","Relevant to products with 1 to 30 Hz-style frequency ranges.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Good for Holistix PEMF range explanation."
PEMF-FREQ-014,Frequency is not intensity,Measurement concept,"Frequency describes timing, while intensity, field strength, waveform, pulse shape, coil design, and exposure area describe other device characteristics.","A device should not be judged by frequency alone. Frequency is only one part of the technical profile.","Device specification / manufacturer-instruction context","Measurement caution","Measurement concept","No","Helps prevent misleading PEMF comparison shopping.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Important technical education row."
PEMF-FREQ-015,Waveform,Device specification,"Waveform describes the shape or pattern of the electromagnetic signal over time.","Waveform claims should be explained as device specifications, not as proof of medical benefit.","Device specification / manufacturer-instruction context","Device specification","Specification field","No","Useful for future PEMF product-spec and buyer-guide content.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Adds technical depth without claims."
PEMF-FREQ-016,Intensity and field strength,Device specification,"PEMF intensity or field strength describes how strong the magnetic field is, often discussed separately from frequency.","Users should not compare devices by Hz alone because strength and delivery method can differ substantially.","Consumer comparison context / buyer education","Device specification","Specification field","No","Supports more honest PEMF device comparisons.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Buyer-education row."
PEMF-FREQ-017,Session duration,Usage context,"Session duration is a separate variable from frequency and may affect user experience and safety guidance.","This dataset does not provide PEMF dosage protocols. Users should follow manufacturer instructions and consult a qualified professional when appropriate.","Manufacturer instruction / consumer safety context","Consumer safety caution","Usage context","Yes","Prevents frequency education from becoming treatment advice.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","No treatment schedules."
PEMF-FREQ-018,Contraindications and precautions,Safety context,"PEMF use may require caution for people with implanted electronic devices, pregnancy, seizure history, active bleeding concerns, or other individual risk factors depending on device labeling.","Users should review contraindications, follow manufacturer warnings, and consult a qualified healthcare professional when risk factors are present.","Safety guidance / claim-boundary context","Consumer safety caution","Safety caution","Yes","Connects frequency education to the PEMF Contraindications Database.","2026-06-26","https://www.holistixintl.com/pages/pemf-contraindications-database","PEMF wellness devices","Cross-link concept to contraindications page."
PEMF-FREQ-019,Consumer frequency charts,Buyer education,"PEMF frequency charts can help organize terminology, but they can also overstate certainty when they map each frequency to a specific condition or promised outcome.","Avoid rigid frequency-to-disease charts unless supported by appropriate evidence, intended-use language, and regulatory status.","Safety guidance / claim-boundary context","Commercial separation","Claim boundary","Yes","Protects Holistix from bad frequency-chart claims while still owning the topic.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Key compliance and SEO row."
PEMF-FREQ-020,Commercial claim separation,Commercial separation,"Educational PEMF copy should separate frequency terminology, device specifications, safety cautions, user instructions, and medical claims.","Avoid disease claims, guaranteed results, unsupported before-and-after promises, and claims that one frequency is universally best.","Safety guidance / claim-boundary context","Commercial separation","Claim boundary","Yes","Keeps Holistix open-data assets citation-worthy and lower-risk.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Protect the asset."
PEMF-FREQ-021,Maintenance and review,Dataset maintenance,"PEMF frequency terminology should be reviewed periodically because device designs, evidence, regulations, and market claims can change.","Rows should be updated when stronger safety guidance, regulatory information, or better product-specification standards become available.","Open data maintenance context","Research context","Dataset maintenance","No","Supports future version history and dataset audits.","2026-06-26","https://www.holistixintl.com/pages/pemf-frequency-index","PEMF wellness devices","Use for future v1.2 or later updates."
